president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
Abraham Lincoln,1852-07-06,1852,"July 6, 1852: Eulogy on Henry Clay",https://millercenter.org/the-presidency/presidential-speeches/july-6-1852-eulogy-henry-clay,"Abraham_Lincoln_1852-07-06T13:03:58-04:56_July_6,_1852:_Eulogy_on_Henry_Clay.json",10778,72,86,6.68,7.98,0.4557,Other,False,written_era
Abraham Lincoln,1854-10-16,1854,"October 16, 1854: At Peoria, Illinois",https://millercenter.org/the-presidency/presidential-speeches/october-16-1854-peoria-illinois,"Abraham_Lincoln_1854-10-16T13:03:58-04:56_October_16,_1854:_At_Peoria,_Illinois.json",33210,472,422,14.21,12.71,0.528,Other,False,written_era
Abraham Lincoln,1858-06-16,1858,"June 16, 1858: ""A House Divided"" Speech",https://millercenter.org/the-presidency/presidential-speeches/june-16-1858-house-divided-speech,"Abraham_Lincoln_1858-06-16T13:03:58-04:56_June_16,_1858:_""A_House_Divided""_Speech.json",3217,9,48,2.8,14.92,0.1579,Other,False,written_era
Abraham Lincoln,1860-02-27,1860,"February 27, 1860: Cooper Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-27-1860-cooper-union-address,"Abraham_Lincoln_1860-02-27T13:03:58-04:56_February_27,_1860:_Cooper_Union_Address.json",13694,96,368,7.01,26.87,0.2069,Other,False,written_era
Abraham Lincoln,1861-02-11,1861,"February 11, 1861: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/february-11-1861-farewell-address,"Abraham_Lincoln_1861-02-11T13:03:58-04:56_February_11,_1861:_Farewell_Address.json",152,15,1,98.68,6.58,0.9375,Farewell Address,False,written_era
Abraham Lincoln,1861-03-04,1861,"March 4, 1861: First Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1861-first-inaugural-address,"Abraham_Lincoln_1861-03-04T13:03:58-04:56_March_4,_1861:_First_Inaugural_Address.json",3632,59,23,16.24,6.33,0.7195,Inaugural Address,False,written_era
Abraham Lincoln,1861-07-04,1861,"July 4, 1861: July 4th Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/july-4-1861-july-4th-message-congress,"Abraham_Lincoln_1861-07-04T13:03:58-04:56_July_4,_1861:_July_4th_Message_to_Congress.json",6268,3,37,0.48,5.9,0.075,Address to Congress,False,written_era
Abraham Lincoln,1861-12-03,1861,"December 3, 1861: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1861-first-annual-message,"Abraham_Lincoln_1861-12-03T13:03:58-04:56_December_3,_1861:_First_Annual_Message.json",6951,74,55,10.65,7.91,0.5736,Annual Message,True,written_era
Abraham Lincoln,1862-12-01,1862,"December 1, 1862: Second Annual Message",,"Abraham_Lincoln_1862-12-01T13:03:58-04:56_December_1,_1862:_Second_Annual_Message.json",8291,55,129,6.63,15.56,0.2989,Annual Message,True,written_era
Abraham Lincoln,1863-01-01,1863,"January 1, 1863: Emancipation Proclamation",https://millercenter.org/the-presidency/presidential-speeches/january-1-1863-emancipation-proclamation,"Abraham_Lincoln_1863-01-01T13:03:58-04:56_January_1,_1863:_Emancipation_Proclamation.json",711,10,4,14.06,5.63,0.7143,Other,False,written_era
Abraham Lincoln,1863-08-26,1863,"August 26, 1863: Public Letter to James Conkling",https://millercenter.org/the-presidency/presidential-speeches/august-26-1863-public-letter-james-conkling,"Abraham_Lincoln_1863-08-26T13:03:58-04:56_August_26,_1863:_Public_Letter_to_James_Conkling.json",1688,41,18,24.29,10.66,0.6949,Other,False,written_era
Abraham Lincoln,1863-11-19,1863,"November 19, 1863: Gettysburg Address",https://millercenter.org/the-presidency/presidential-speeches/november-19-1863-gettysburg-address,"Abraham_Lincoln_1863-11-19T13:03:58-04:56_November_19,_1863:_Gettysburg_Address.json",272,0,15,0.0,55.15,0.0,Other,False,written_era
Abraham Lincoln,1863-12-08,1863,"December 8, 1863: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-8-1863-third-annual-message,"Abraham_Lincoln_1863-12-08T13:03:58-04:56_December_8,_1863:_Third_Annual_Message.json",6078,45,44,7.4,7.24,0.5056,Annual Message,True,written_era
Abraham Lincoln,1864-12-06,1864,"December 6, 1864: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1864-fourth-annual-message,"Abraham_Lincoln_1864-12-06T13:03:58-04:56_December_6,_1864:_Fourth_Annual_Message.json",5802,28,54,4.83,9.31,0.3415,Annual Message,True,written_era
Abraham Lincoln,1865-03-04,1865,"March 4, 1865: Second Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1865-second-inaugural-address,"Abraham_Lincoln_1865-03-04T13:03:58-04:56_March_4,_1865:_Second_Inaugural_Address.json",701,2,11,2.85,15.69,0.1538,Inaugural Address,False,written_era
Andrew Jackson,1829-03-04,1829,"March 4, 1829: First Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1829-first-inaugural-address,"Andrew_Jackson_1829-03-04T13:03:58-04:56_March_4,_1829:_First_Inaugural_Address.json",1128,32,22,28.37,19.5,0.5926,Inaugural Address,False,written_era
Andrew Jackson,1829-05-11,1829,"May 11, 1829: Proclamation Regarding Duties on Austrian Vessels",https://millercenter.org/the-presidency/presidential-speeches/may-11-1829-proclamation-regarding-duties-austrian-vessels,"Andrew_Jackson_1829-05-11T13:03:58-04:56_May_11,_1829:_Proclamation_Regarding_Duties_on_Austrian_Vessels.json",400,3,0,7.5,0.0,1.0,Other,False,written_era
Andrew Jackson,1829-12-08,1829,"December 8, 1829: First Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-8-1829-first-annual-message-congress,"Andrew_Jackson_1829-12-08T13:03:58-04:56_December_8,_1829:_First_Annual_Message_to_Congress.json",10493,69,137,6.58,13.06,0.335,Annual Message,True,written_era
Andrew Jackson,1830-05-06,1830,"May 6, 1830: Message Regarding Treaties with the Choctaw Nation of Indians",https://millercenter.org/the-presidency/presidential-speeches/may-6-1830-message-regarding-treaties-choctaw-nation-indians,"Andrew_Jackson_1830-05-06T11:59:58-04:56_May_6,_1830:_Message_Regarding_Treaties_with_the_Choctaw_Nation_of_Indians.json",885,20,2,22.6,2.26,0.9091,Other,False,written_era
Andrew Jackson,1830-05-27,1830,"May 27, 1830: Veto Message Regarding Funding of Infrastructure Development",https://millercenter.org/the-presidency/presidential-speeches/may-27-1830-veto-message-regarding-funding-infrastructure,"Andrew_Jackson_1830-05-27T12:05:58-04:56_May_27,_1830:_Veto_Message_Regarding_Funding_of_Infrastructure_Development.json",5478,66,45,12.05,8.21,0.5946,Other,False,written_era
Andrew Jackson,1830-10-05,1830,"October 5, 1830: Proclamation Regarding the Opening of United States Ports to British Vessels",https://millercenter.org/the-presidency/presidential-speeches/october-5-1830-proclamation-regarding-opening-united-states,"Andrew_Jackson_1830-10-05T13:03:58-04:56_October_5,_1830:_Proclamation_Regarding_the_Opening_of_United_States_Ports_to_British_Vessels.json",837,3,0,3.58,0.0,1.0,Other,False,written_era
Andrew Jackson,1830-12-06,1830,"December 6, 1830: Second Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-6-1830-second-annual-message-congress,"Andrew_Jackson_1830-12-06T13:03:58-04:56_December_6,_1830:_Second_Annual_Message_to_Congress.json",14998,165,172,11.0,11.47,0.4896,Annual Message,True,written_era
Andrew Jackson,1831-02-22,1831,"February 22, 1831: Message Regarding Indian Relations",https://millercenter.org/the-presidency/presidential-speeches/february-22-1831-message-regarding-indian-relations,"Andrew_Jackson_1831-02-22T12:12:58-04:56_February_22,_1831:_Message_Regarding_Indian_Relations.json",2603,19,8,7.3,3.07,0.7037,Other,False,written_era
Andrew Jackson,1831-12-06,1831,"December 6, 1831: Third Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-6-1831-third-annual-message-congress,"Andrew_Jackson_1831-12-06T13:03:58-04:56_December_6,_1831:_Third_Annual_Message_to_Congress.json",7161,73,156,10.19,21.78,0.3188,Annual Message,True,written_era
Andrew Jackson,1832-02-15,1832,"February 15, 1832: Message Regarding Indian Removal",https://millercenter.org/the-presidency/presidential-speeches/february-15-1832-message-regarding-indian-removal,"Andrew_Jackson_1832-02-15T12:16:58-04:56_February_15,_1832:_Message_Regarding_Indian_Removal.json",409,3,0,7.33,0.0,1.0,Other,False,written_era
Andrew Jackson,1832-07-10,1832,"July 10, 1832: Bank Veto",https://millercenter.org/the-presidency/presidential-speeches/july-10-1832-bank-veto,"Andrew_Jackson_1832-07-10T13:03:58-04:56_July_10,_1832:_Bank_Veto.json",8063,33,77,4.09,9.55,0.3,Other,False,written_era
Andrew Jackson,1832-12-04,1832,"December 4, 1832: Fourth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-4-1832-fourth-annual-message-congress,"Andrew_Jackson_1832-12-04T13:03:58-04:56_December_4,_1832:_Fourth_Annual_Message_to_Congress.json",7844,67,154,8.54,19.63,0.3032,Annual Message,True,written_era
Andrew Jackson,1832-12-06,1832,"December 6, 1832: Veto Message of Internal Improvement Legislation",https://millercenter.org/the-presidency/presidential-speeches/december-6-1832-veto-message-internal-improvement-legislation,"Andrew_Jackson_1832-12-06T12:18:58-04:56_December_6,_1832:_Veto_Message_of_Internal_Improvement_Legislation.json",589,29,3,49.24,5.09,0.9062,Other,False,written_era
Andrew Jackson,1832-12-10,1832,"December 10, 1832: Nullification Proclamation",https://millercenter.org/the-presidency/presidential-speeches/december-10-1832-nullification-proclamation,"Andrew_Jackson_1832-12-10T12:21:58-04:56_December_10,_1832:_Nullification_Proclamation.json",8903,40,103,4.49,11.57,0.2797,Other,False,written_era
Andrew Jackson,1833-01-16,1833,"January 16, 1833: Message Regarding South Carolina Nullification of Federal Legislation",https://millercenter.org/the-presidency/presidential-speeches/january-16-1833-message-regarding-south-carolina-nullification,"Andrew_Jackson_1833-01-16T12:24:58-04:56_January_16,_1833:_Message_Regarding_South_Carolina_Nullification_of_Federal_Legislation.json",11427,40,28,3.5,2.45,0.5882,Other,False,written_era
Andrew Jackson,1833-03-04,1833,"March 4, 1833: Second Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1833-second-inaugural-address,"Andrew_Jackson_1833-03-04T13:03:58-04:56_March_4,_1833:_Second_Inaugural_Address.json",1175,28,28,23.83,23.83,0.5,Inaugural Address,False,written_era
Andrew Jackson,1833-09-18,1833,"September 18, 1833: Message Regarding the Bank of the United States",https://millercenter.org/the-presidency/presidential-speeches/september-18-1833-message-regarding-bank-united-states,"Andrew_Jackson_1833-09-18T12:26:58-04:56_September_18,_1833:_Message_Regarding_the_Bank_of_the_United_States.json",7357,7,20,0.95,2.72,0.2593,Other,False,written_era
Andrew Jackson,1833-12-03,1833,"December 3, 1833: Fifth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-3-1833-fifth-annual-message-congress,"Andrew_Jackson_1833-12-03T13:03:58-04:56_December_3,_1833:_Fifth_Annual_Message_to_Congress.json",7842,73,66,9.31,8.42,0.5252,Annual Message,True,written_era
Andrew Jackson,1833-12-12,1833,"December 12, 1833: Message on the Constitutional Rights and Responsibilities of the President",,"Andrew_Jackson_1833-12-12T13:19:58-04:56_December_12,_1833:_Message_on_the_Constitutional_Rights_and_Responsibilities_of_the_President.json",313,16,0,51.12,0.0,1.0,Other,False,written_era
Andrew Jackson,1834-04-15,1834,"April 15, 1834: Protest of Senate Censure",https://millercenter.org/the-presidency/presidential-speeches/april-15-1834-protest-senate-censure,"Andrew_Jackson_1834-04-15T13:21:58-04:56_April_15,_1834:_Protest_of_Senate_Censure.json",12609,80,52,6.34,4.12,0.6061,Other,False,written_era
Andrew Jackson,1834-04-21,1834,"April 21, 1834: Addendum to the Protest of Senate Censure",https://millercenter.org/the-presidency/presidential-speeches/april-21-1834-addendum-protest-senate-censure,"Andrew_Jackson_1834-04-21T13:25:58-04:56_April_21,_1834:_Addendum_to_the_Protest_of_Senate_Censure.json",456,18,0,39.47,0.0,1.0,Other,False,written_era
Andrew Jackson,1834-12-01,1834,"December 1, 1834: Sixth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-1-1834-sixth-annual-message-congress,"Andrew_Jackson_1834-12-01T13:03:58-04:56_December_1,_1834:_Sixth_Annual_Message_to_Congress.json",13344,129,145,9.67,10.87,0.4708,Annual Message,True,written_era
Andrew Jackson,1835-12-07,1835,"December 7, 1835: Seventh Annual Address to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-7-1835-seventh-annual-address-congress,"Andrew_Jackson_1835-12-07T13:03:58-04:56_December_7,_1835:_Seventh_Annual_Address_to_Congress.json",10793,93,143,8.62,13.25,0.3941,Address to Congress,False,written_era
Andrew Jackson,1836-12-05,1836,"December 5, 1836: Eighth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-5-1836-eighth-annual-message-congress,"Andrew_Jackson_1836-12-05T13:03:58-04:56_December_5,_1836:_Eighth_Annual_Message_to_Congress.json",12345,73,114,5.91,9.23,0.3904,Annual Message,True,written_era
Andrew Jackson,1836-12-21,1836,"December 21, 1836: Statement on the Independence of Texas",https://millercenter.org/the-presidency/presidential-speeches/december-21-1836-statement-independence-texas,"Andrew_Jackson_1836-12-21T13:29:58-04:56_December_21,_1836:_Statement_on_the_Independence_of_Texas.json",1802,13,37,7.21,20.53,0.26,Other,False,written_era
Andrew Jackson,1837-03-04,1837,"March 4, 1837: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1837-farewell-address,"Andrew_Jackson_1837-03-04T17:45:58-04:56_March_4,_1837:_Farewell_Address.json",8254,57,84,6.91,10.18,0.4043,Farewell Address,False,written_era
Andrew Johnson,1865-04-17,1865,"April 17, 1865: Message Following the Death of Abraham Lincoln",https://millercenter.org/the-presidency/presidential-speeches/april-17-1865-message-following-death-abraham-lincoln,"Andrew_Johnson_1865-04-17T13:42:58-04:56_April_17,_1865:_Message_Following_the_Death_of_Abraham_Lincoln.json",357,24,0,67.23,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-04-29,1865,"April 29, 1865: Order Ending Commercial Restrictions on Confederate States",https://millercenter.org/the-presidency/presidential-speeches/april-29-1865-order-ending-commercial-restrictions-confederate,"Andrew_Johnson_1865-04-29T13:43:58-04:56_April_29,_1865:_Order_Ending_Commercial_Restrictions_on_Confederate_States.json",233,1,0,4.29,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-05-02,1865,"May 2, 1865: Establishing Rewards for the Arrest of Certain Confederate Officers",https://millercenter.org/the-presidency/presidential-speeches/may-2-1865-establishing-rewards-arrest-certain-confederate,"Andrew_Johnson_1865-05-02T13:44:58-04:56_May_2,_1865:_Establishing_Rewards_for_the_Arrest_of_Certain_Confederate_Officers.json",903,5,0,5.54,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-05-29,1865,"May 29, 1865: Proclamation Pardoning Persons who Participated in the Rebellion",https://millercenter.org/the-presidency/presidential-speeches/may-29-1865-proclamation-pardoning-persons-who-participated,"Andrew_Johnson_1865-05-29T13:45:58-04:56_May_29,_1865:_Proclamation_Pardoning_Persons_who_Participated_in_the_Rebellion.json",947,8,0,8.45,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-05-29,1865,"May 29, 1865: Message Reestablishing Governments in Former Confederate States",https://millercenter.org/the-presidency/presidential-speeches/may-29-1865-message-reestablishing-governments-former,"Andrew_Johnson_1865-05-29T13:46:58-04:56_May_29,_1865:_Message_Reestablishing_Governments_in_Former_Confederate_States.json",1030,5,0,4.85,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-06-02,1865,"June 2, 1865: Message Regarding Control of Abandoned Lands and Property",https://millercenter.org/the-presidency/presidential-speeches/june-2-1865-message-regarding-control-abandoned-lands-and,"Andrew_Johnson_1865-06-02T14:02:58-04:56_June_2,_1865:_Message_Regarding_Control_of_Abandoned_Lands_and_Property.json",268,0,0,0.0,0.0,,Other,False,written_era
Andrew Johnson,1865-06-06,1865,"June 6, 1865: Executive Order Regarding Discharged Prisoners of War",https://millercenter.org/the-presidency/presidential-speeches/june-6-1865-executive-order-regarding-discharged-prisoners-war,"Andrew_Johnson_1865-06-06T14:03:58-04:56_June_6,_1865:_Executive_Order_Regarding_Discharged_Prisoners_of_War.json",301,1,0,3.32,0.0,1.0,Other,False,written_era
Andrew Johnson,1865-12-04,1865,"December 4, 1865: First Annual Message",,"Andrew_Johnson_1865-12-04T13:03:58-04:56_December_4,_1865:_First_Annual_Message.json",9221,56,127,6.07,13.77,0.306,Annual Message,True,written_era
Andrew Johnson,1865-12-18,1865,"December 18, 1865: Announcement of the Successful Suppression of the Rebellion",https://millercenter.org/the-presidency/presidential-speeches/december-18-1865-announcement-successful-suppression-rebellion,"Andrew_Johnson_1865-12-18T14:06:58-04:56_December_18,_1865:_Announcement_of_the_Successful_Suppression_of_the_Rebellion.json",645,4,0,6.2,0.0,1.0,Other,False,written_era
Andrew Johnson,1866-02-19,1866,"February 19, 1866: Veto Message on Freedmen and Refugee Relief Bureau Legislation",https://millercenter.org/the-presidency/presidential-speeches/february-19-1866-veto-message-freedmen-and-refugee-relief,"Andrew_Johnson_1866-02-19T14:07:58-04:56_February_19,_1866:_Veto_Message_on_Freedmen_and_Refugee_Relief_Bureau_Legislation.json",3879,24,15,6.19,3.87,0.6154,Other,False,written_era
Andrew Johnson,1866-03-27,1866,"March 27, 1866: Veto Message on Civil Rights Legislation",https://millercenter.org/the-presidency/presidential-speeches/march-27-1866-veto-message-civil-rights-legislation,"Andrew_Johnson_1866-03-27T14:09:58-04:56_March_27,_1866:_Veto_Message_on_Civil_Rights_Legislation.json",4427,22,10,4.97,2.26,0.6875,Other,False,written_era
Andrew Johnson,1866-04-02,1866,"April 2, 1866: Proclamation on the End of the Confederate Insurrection",https://millercenter.org/the-presidency/presidential-speeches/april-2-1866-proclamation-end-confederate-insurrection,"Andrew_Johnson_1866-04-02T14:10:58-04:56_April_2,_1866:_Proclamation_on_the_End_of_the_Confederate_Insurrection.json",1367,4,3,2.93,2.19,0.5714,Other,False,written_era
Andrew Johnson,1866-07-24,1866,"July 24, 1866: Message Restoring Tennessee to Former Status",https://millercenter.org/the-presidency/presidential-speeches/july-24-1866-message-restoring-tennessee-former-status,"Andrew_Johnson_1866-07-24T14:11:58-04:56_July_24,_1866:_Message_Restoring_Tennessee_to_Former_Status.json",1290,11,0,8.53,0.0,1.0,Other,False,written_era
Andrew Johnson,1866-08-20,1866,"August 20, 1866: Message Proclaiming End to Insurrection in the United States",https://millercenter.org/the-presidency/presidential-speeches/august-20-1866-message-proclaiming-end-insurrection-united,"Andrew_Johnson_1866-08-20T14:26:58-04:56_August_20,_1866:_Message_Proclaiming_End_to_Insurrection_in_the_United_States.json",1922,4,3,2.08,1.56,0.5714,Other,False,written_era
Andrew Johnson,1866-12-03,1866,"December 3, 1866: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1866-second-annual-message,"Andrew_Johnson_1866-12-03T14:19:58-04:56_December_3,_1866:_Second_Annual_Message.json",7068,19,74,2.69,10.47,0.2043,Annual Message,True,written_era
Andrew Johnson,1867-01-28,1867,"January 28, 1867: Veto Message on Admitting Colorado into the Union",https://millercenter.org/the-presidency/presidential-speeches/january-28-1867-veto-message-admitting-colorado-union,"Andrew_Johnson_1867-01-28T14:21:58-04:56_January_28,_1867:_Veto_Message_on_Admitting_Colorado_into_the_Union.json",2871,25,12,8.71,4.18,0.6757,Other,False,written_era
Andrew Johnson,1867-01-29,1867,"January 29, 1867: Veto Message on Admitting Nebraska into the Union",https://millercenter.org/the-presidency/presidential-speeches/january-29-1867-veto-message-admitting-nebraska-union,"Andrew_Johnson_1867-01-29T14:29:58-04:56_January_29,_1867:_Veto_Message_on_Admitting_Nebraska_into_the_Union.json",1442,6,4,4.16,2.77,0.6,Other,False,written_era
Andrew Johnson,1867-03-02,1867,"March 2, 1867: Veto Message Regarding Rebel State Governments",https://millercenter.org/the-presidency/presidential-speeches/march-2-1867-veto-message-regarding-rebel-state-governments,"Andrew_Johnson_1867-03-02T14:30:58-04:56_March_2,_1867:_Veto_Message_Regarding_Rebel_State_Governments.json",6739,29,66,4.3,9.79,0.3053,Other,False,written_era
Andrew Johnson,1867-03-23,1867,"March 23, 1867: Veto Message Regarding Rebel State Governments",https://millercenter.org/the-presidency/presidential-speeches/march-23-1867-veto-message-regarding-rebel-state-governments,"Andrew_Johnson_1867-03-23T14:33:58-04:56_March_23,_1867:_Veto_Message_Regarding_Rebel_State_Governments.json",2120,15,14,7.08,6.6,0.5172,Other,False,written_era
Andrew Johnson,1867-06-20,1867,"June 20, 1867: Message Clarifying the Reconstruction Acts",https://millercenter.org/the-presidency/presidential-speeches/june-20-1867-message-clarifying-reconstruction-acts,"Andrew_Johnson_1867-06-20T14:23:58-04:56_June_20,_1867:_Message_Clarifying_the_Reconstruction_Acts.json",1809,2,0,1.11,0.0,1.0,Other,False,written_era
Andrew Johnson,1867-07-19,1867,"July 19, 1867: Message Regarding Reconstruction Legislation",https://millercenter.org/the-presidency/presidential-speeches/july-19-1867-message-regarding-reconstruction-legislation,"Andrew_Johnson_1867-07-19T14:35:58-04:56_July_19,_1867:_Message_Regarding_Reconstruction_Legislation.json",4628,21,12,4.54,2.59,0.6364,Other,False,written_era
Andrew Johnson,1867-09-07,1867,"September 7, 1867: Proclamation Restoring All Rights to Rebellion Participants",https://millercenter.org/the-presidency/presidential-speeches/september-7-1867-proclamation-restoring-all-rights-rebellion,"Andrew_Johnson_1867-09-07T14:38:58-04:56_September_7,_1867:_Proclamation_Restoring_All_Rights_to_Rebellion_Participants.json",1266,7,1,5.53,0.79,0.875,Other,False,written_era
Andrew Johnson,1867-12-03,1867,"December 3, 1867: Third Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-3-1867-third-annual-message-congress,"Andrew_Johnson_1867-12-03T14:39:58-04:56_December_3,_1867:_Third_Annual_Message_to_Congress.json",11922,51,165,4.28,13.84,0.2361,Annual Message,True,written_era
Andrew Johnson,1867-12-12,1867,"December 12, 1867: Message Regarding the Suspension of Secretary Stanton",https://millercenter.org/the-presidency/presidential-speeches/december-12-1867-message-regarding-suspension-secretary,"Andrew_Johnson_1867-12-12T11:07:58-04:56_December_12,_1867:_Message_Regarding_the_Suspension_of_Secretary_Stanton.json",5847,135,7,23.09,1.2,0.9507,Other,False,written_era
Andrew Johnson,1868-02-11,1868,"February 11, 1868: Messages Regarding Correspondence with General U.S. Grant",https://millercenter.org/the-presidency/presidential-speeches/february-11-1868-messages-regarding-correspondence-general-us,"Andrew_Johnson_1868-02-11T11:11:58-04:56_February_11,_1868:_Messages_Regarding_Correspondence_with_General_U.S._Grant.json",6254,100,3,15.99,0.48,0.9709,Other,False,written_era
Andrew Johnson,1868-02-22,1868,"February 22, 1868: Message Regarding the Removal of Secretary Stanton",https://millercenter.org/the-presidency/presidential-speeches/february-22-1868-message-regarding-removal-secretary-stanton,"Andrew_Johnson_1868-02-22T11:35:58-04:56_February_22,_1868:_Message_Regarding_the_Removal_of_Secretary_Stanton.json",3213,81,1,25.21,0.31,0.9878,Other,False,written_era
Andrew Johnson,1868-03-25,1868,"March 25, 1868: Veto Message on Legislation Amending the Judiciary",https://millercenter.org/the-presidency/presidential-speeches/march-25-1868-veto-message-legislation-amending-judiciary,"Andrew_Johnson_1868-03-25T11:38:58-04:56_March_25,_1868:_Veto_Message_on_Legislation_Amending_the_Judiciary.json",790,14,4,17.72,5.06,0.7778,Other,False,written_era
Andrew Johnson,1868-06-20,1868,"June 20, 1868: Veto Message Regarding Regulations on Confederate States",https://millercenter.org/the-presidency/presidential-speeches/june-20-1868-veto-message-regarding-regulations-confederate,"Andrew_Johnson_1868-06-20T11:40:58-04:56_June_20,_1868:_Veto_Message_Regarding_Regulations_on_Confederate_States.json",1328,8,3,6.02,2.26,0.7273,Other,False,written_era
Andrew Johnson,1868-07-18,1868,"July 18, 1868: Message Proposing Constitutional Amendments",https://millercenter.org/the-presidency/presidential-speeches/july-18-1868-message-proposing-constitutional-amendments,"Andrew_Johnson_1868-07-18T11:44:58-04:56_July_18,_1868:_Message_Proposing_Constitutional_Amendments.json",3394,23,4,6.78,1.18,0.8519,Other,False,written_era
Andrew Johnson,1868-07-20,1868,"July 20, 1868: Veto Message Regarding Electoral College Participation",https://millercenter.org/the-presidency/presidential-speeches/july-20-1868-veto-message-regarding-electoral-college,"Andrew_Johnson_1868-07-20T11:45:58-04:56_July_20,_1868:_Veto_Message_Regarding_Electoral_College_Participation.json",1624,14,2,8.62,1.23,0.875,Other,False,written_era
Andrew Johnson,1868-12-08,1868,"December 8, 1868: Fourth Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-8-1868-fourth-annual-message-congress,"Andrew_Johnson_1868-12-08T11:46:58-04:56_December_8,_1868:_Fourth_Annual_Message_to_Congress.json",9669,28,110,2.9,11.38,0.2029,Annual Message,True,written_era
Barack Obama,2008-08-28,2008,"August 28, 2008: Acceptance Speech at the Democratic National Convention",https://millercenter.org/the-presidency/presidential-speeches/august-28-2008-acceptance-speech-democratic-national,"Barack_Obama_2008-08-28T14:00:00-04:00_August_28,_2008:_Acceptance_Speech_at_the_Democratic_National_Convention.json",4667,113,160,24.21,34.28,0.4139,Nomination Acceptance,False,spoken_era
Barack Obama,2008-11-04,2008,"November 4, 2008: Remarks on Election Night",https://millercenter.org/the-presidency/presidential-speeches/november-4-2008-remarks-election-night,"Barack_Obama_2008-11-04T13:00:00-05:00_November_4,_2008:_Remarks_on_Election_Night.json",1955,38,93,19.44,47.57,0.2901,Other,False,spoken_era
Barack Obama,2009-01-20,2009,"January 20, 2009: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/january-20-2009-inaugural-address,"Barack_Obama_2009-01-20T13:00:00-05:00_January_20,_2009:_Inaugural_Address.json",2400,4,156,1.67,65.0,0.025,Inaugural Address,False,spoken_era
Barack Obama,2009-01-29,2009,"January 29, 2009: Remarks on the Lilly Ledbetter Fair Pay Restoration Act Bill Signing",https://millercenter.org/the-presidency/presidential-speeches/january-29-2009-remarks-lilly-ledbetter-fair-pay-restoration,"Barack_Obama_2009-01-29T01:00:00-05:00_January_29,_2009:_Remarks_on_the_Lilly_Ledbetter_Fair_Pay_Restoration_Act_Bill_Signing.json",874,12,26,13.73,29.75,0.3158,Other,False,spoken_era
Barack Obama,2009-02-07,2009,"February 7, 2009: Remarks on the American Recovery and Reinvestment Act",https://millercenter.org/the-presidency/presidential-speeches/february-7-2009-remarks-american-recovery-and-reinvestment-act,"Barack_Obama_2009-02-07T01:00:00-05:00_February_7,_2009:_Remarks_on_the_American_Recovery_and_Reinvestment_Act.json",2490,24,99,9.64,39.76,0.1951,Other,False,spoken_era
Barack Obama,2009-02-24,2009,"February 24, 2009: Address Before a Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/february-24-2009-address-joint-session-congress,"Barack_Obama_2009-02-24T13:00:00-05:00_February_24,_2009:_Address_Before_a_Joint_Session_of_Congress.json",6063,98,275,16.16,45.36,0.2627,Address to Congress,False,spoken_era
Barack Obama,2009-05-26,2009,"May 26, 2009: Remarks on Nominating Judge Sonia Sotomayor to the U.S. Supreme Court",https://millercenter.org/the-presidency/presidential-speeches/may-26-2009-remarks-nominating-judge-sonia-sotomayor-us,"Barack_Obama_2009-05-26T02:00:00-04:00_May_26,_2009:_Remarks_on_Nominating_Judge_Sonia_Sotomayor_to_the_U.S._Supreme_Court.json",1508,21,8,13.93,5.31,0.7241,Other,False,spoken_era
